Year,Population,Urban Population,Rural Population,Male Population,Female Population,Birth Rate,Death Rate,Life Expectancy
1960,667070000,138930000,528140000,348632000,318438000,24.03,9.34,43.46
1961,660330000,142050000,518280000,346563000,313767000,24.10,9.37,44.09
1962,665770000,145330000,520440000,348294000,317476000,24.20,9.39,44.72
1963,682335000,149030000,533305000,355068000,327267000,24.40,9.42,45.35
1964,698355000,153020000,545335000,361037000,337318000,24.60,9.45,45.98
1965,715185000,157080000,558105000,366875000,348310000,24.80,9.48,46.61
1966,735400000,162740000,572660000,376032000,359368000,25.02,9.50,47.24
1967,754550000,167800000,586750000,384607000,369943000,25.23,9.53,47.87
1968,774510000,172580000,601930000,394707000,379803000,25.45,9.56,48.50
1969,795400000,177820000,617580000,406019000,389381000,25.66,9.59,49.13
1970,818315000,183300000,635015000,418599000,399716000,25.88,9.62,49.76
1971,841130000,188830000,652300000,431666000,409464000,26.10,9.65,50.39
1972,866180000,195400000,670780000,446234000,420946000,26.31,9.68,51.02
1973,891665000,201880000,689785000,461559000,430106000,26.53,9.71,51.65
1974,916395000,208380000,708015000,476957000,439438000,26.75,9.74,52.28
1975,940540000,214920000,725620000,492058000,448482000,26.97,9.77,52.91
1976,964510000,221740000,742770000,507423000,457087000,27.19,9.80,53.54
1977,989565000,228680000,760885000,523085000,466480000,27.40,9.83,54.17
1978,1015065000,235770000,779295000,539430000,475635000,27.61,9.86,54.80
1979,1038005000,242930000,795075000,555748000,482258000,27.82,9.89,55.43
1980,1059865000,249910000,810955000,571329000,488537000,28.03,9.92,56.06
1981,1081500000,256730000,824775000,586639000,494870000,28.24,9.95,56.69
1982,1103040000,263400000,839635000,601688000,501355000,28.45,9.98,57.32
1983,1123800000,270040000,853760000,616474000,507328000,28.66,10.01,57.95
1984,1144320000,276740000,867580000,630775000,513547000,28.87,10.04,58.58
1985,1164970000,283570000,881400000,645740000,519730000,29.08,10.07,59.21
1986,1185370000,290590000,895780000,660750000,525620000,29.29,10.10,59.84
1987,1205660000,297920000,908740000,675831000,531829000,29.50,10.13,60.47
1988,1225895000,305570000,920325000,690923000,537972000,29.71,10.16,61.10
1989,1246180000,313520000,932660000,706049000,544131000,29.92,10.19,61.73
1990,1266480000,321750000,944730000,721166000,550316000,30.13,10.22,62.36
1991,1286830000,330310000,956520000,736250000,556580000,30.34,10.25,62.99
1992,1307110000,339110000,968000000,751213000,562897000,30.55,10.28,63.62
1993,1327250000,348060000,979190000,766081000,569169000,30.76,10.31,64.25
1994,1347350000,357120000,990230000,780972000,575578000,30.97,10.34,64.88
1995,1367000000,366270000,1000730000,795746000,582257000,31.18,10.37,65.51
1996,1385670000,375440000,1010230000,810426000,588245000,31.39,10.40,66.14
1997,1403440000,384540000,1018900000,825013000,594425000,31.60,10.43,66.77
1998,1421320000,393540000,1027780000,839509000,600813000,31.81,10.46,67.40
1999,1438580000,402430000,1036150000,853920000,607660000,32.02,10.49,68.03
2000,1455930000,411230000,1044700000,868246000,614684000,32.23,10.52,68.66
2001,1472690000,419960000,1052730000,882482000,621208000,32.44,10.55,69.29
2002,1488940000,428620000,1060320000,896634000,628306000,32.65,10.58,69.92
2003,1505050000,437240000,1067810000,910751000,635297000,32.86,10.61,70.55
2004,1521300000,445880000,1075420000,924829000,642470000,33.07,10.64,71.18
2005,1537870000,454570000,1083300000,938840000,649031000,33.28,10.67,71.81
2006,1555400000,463450000,1091950000,953044000,656355000,33.49,10.70,72.44
2007,1572870000,472500000,1100370000,967310000,660561000,33.70,10.73,73.07
2008,1590050000,481660000,1108390000,981629000,668427000,33.91,10.76,73.70
2009,1607120000,490890000,1116230000,995984000,666136000,34.12,10.79,74.33
2010,1624110000,500140000,1123970000,1010405000,663705000,34.33,10.82,74.96
2011,1640690000,509290000,1131400000,1024809000,664651000,34.54,10.85,75.59
2012,1658060000,518050000,1130010000,1038693000,653693000,34.75,10.88,76.22
2013,1676330000,527820000,1148500000,1053014000,623315000,34.96,10.91,76.85
2014,1694470000,537720000,1156750000,1066837000,627636000,35.17,10.94,77.48
2015,1712060000,547760000,1164300000,1080072000,630242000,35.38,10.97,78.11
2016,1729500000,558050000,1171450000,1093002000,633667000,35.59,11.00,78.74
2017,1746310000,568480000,1177830000,1105867000,636494000,35.80,11.03,79.37
2018,1763270000,579040000,1184230000,1118694000,637771000,36.01,11.06,80.00
2019,1780200000,589730000,1190470000,1131484000,638716000,36.22,11.09,80.63
2020,1797120000,600530000,1196590000,1144215000,640705000,36.43,11.12,81.26
2021,1813760000,611470000,1202290000,1156818000,645503000,36.64,11.15,81.89
2022,1831210000,622530000,1208680000,1169385000,663421000,36.85,11.18,82.52
2023,1848210000,633750000,1214460000,1181806000,664405000,37.06,11.21,83.15
